26 1001
Gros Valerie
CNRS LSCE, Orme des Merisiers, Bat 701, 91 191 Gif sur Yvette, France, valerie.gros@lsce.ipsl.fr
"Ozone instrument; carbon monoxide instrument; Nitrogen oxides instrument; LHVP station"
MEGAPOLI winter campaign
1 1
2010 01 01 2010 10 27
5 min
Time (hours since 2010-01-01 00:00:00 +1:00 )
4
1. 1. 1. 1.
9999 9999 9999 9999
ozone O3  (ppbv)
CO (ppbv)
NO (ppbv)
NOx (ppbv)
9
Ozone was measured with a Thermo-Environnment 49C instrument
Carbon monoxide was measured with a Thermo-Environment 48i-TL instrument
Nitrogen monoxide and nitrogen oxides were measured with a Environment SA AC31M  instrument from LHVP
Please contact me for more details on the instruments
 -------------------------------------------------------------------------------------------
These data were generated or collected within the framework of  FP7/ MEGAPOLI and of the national ANR MEGAPOLI-PARIS 
The user agrees with the MEGAPOLI DATA EXCHANGE PROTOCOL
 -------------------------------------------------------------------------------------------
Time (UTC)	O3 (ppb)	CO (ppb)	NO (ppb)	NOx (ppb)
14,628	14,0	9999	6,6	28,4
14,632	12,8	9999	5,7	28,8
14,635	10,2	9999	6,3	30,8
14,639	10,2	307,9	7,5	33,2
14,642	10,1	315,8	7,2	32,6
14,646	8,3	334,0	8,0	35,4
14,649	8,7	322,5	8,1	36,6
14,653	7,9	336,3	7,7	38,0
14,656	7,1	352,7	8,4	39,4
14,660	9,3	338,7	8,0	38,7
14,663	7,6	328,3	7,7	38,0
14,667	5,5	343,0	7,2	39,3
14,670	3,6	367,8	11,8	47,3
14,674	2,5	409,6	15,0	55,0
14,677	2,9	397,8	15,9	55,6
14,681	2,6	418,7	17,0	57,3
14,684	1,9	424,6	17,7	57,8
14,688	2,1	439,0	20,0	60,7
14,691	3,4	394,9	13,0	50,4
14,694	2,9	382,6	11,0	47,3
14,698	2,6	401,4	11,4	50,0
14,701	2,7	399,4	13,6	53,6
14,705	2,6	395,1	10,0	46,9
14,708	3,0	401,4	10,8	48,0
14,712	1,9	448,8	18,9	57,4
14,715	1,8	442,8	17,5	56,7
14,719	1,9	451,0	15,8	56,0
14,722	2,0	477,8	17,7	58,2
14,726	1,9	527,5	24,8	67,3
14,729	2,1	538,1	43,9	86,8
14,733	1,6	535,7	37,8	81,2
14,736	1,7	479,9	34,7	76,8
14,740	1,7	508,6	35,9	77,9
14,743	2,2	537,7	35,4	77,3
14,747	2,1	526,1	37,4	80,3
14,750	2,4	592,0	49,2	93,1
14,753	2,5	658,4	56,0	102,7
14,757	2,9	745,1	68,8	117,5
14,760	2,5	803,9	81,7	131,9
14,764	2,6	793,0	87,1	137,8
14,767	2,4	763,0	87,1	136,8
14,771	2,5	756,4	85,8	134,8
14,774	2,7	775,2	83,1	131,0
14,778	2,6	783,6	86,9	134,3
14,781	2,7	762,9	88,1	135,8
14,785	2,6	770,1	88,7	135,7
14,788	2,8	788,1	91,1	139,0
14,792	3,0	807,4	93,0	140,9
14,795	2,6	9999	89,9	138,0
14,799	2,4	9999	82,4	130,3
14,802	2,3	9999	80,2	126,6
14,806	2,2	9999	75,6	121,8
14,809	2,4	701,2	75,9	122,9
14,813	2,4	682,4	70,9	116,9
14,816	2,2	621,9	62,1	106,4
14,819	2,1	652,5	66,7	112,9
14,823	2,1	634,6	65,1	110,2
14,826	2,3	648,4	68,1	112,8
14,830	3,0	801,2	94,0	142,4
14,833	3,0	846,3	98,6	147,7
14,837	3,3	834,4	98,2	147,3
14,840	2,7	819,7	96,1	144,9
14,844	2,8	793,8	94,0	141,9
14,847	2,7	813,9	94,2	142,8
14,851	2,8	808,8	94,5	142,8
14,854	3,1	826,0	94,7	143,8
14,858	3,2	856,6	97,2	145,5
14,861	3,4	888,1	101,1	149,8
14,865	3,2	883,8	101,4	150,5
14,868	3,0	853,7	97,1	145,0
14,872	2,8	837,5	90,2	137,6
14,875	3,0	782,6	81,7	127,3
14,878	2,8	787,3	81,0	126,9
14,882	2,8	790,0	81,7	126,9
14,885	2,9	799,4	81,4	127,2
14,889	2,7	781,7	78,9	124,4
14,892	2,6	768,2	75,3	118,9
14,896	2,8	728,9	69,0	112,3
14,899	3,0	807,4	85,0	130,5
14,903	3,5	948,8	103,8	151,7
14,906	3,6	965,4	101,2	147,3
14,910	3,7	904,7	87,9	131,5
14,913	3,6	856,3	83,0	124,9
14,917	3,2	816,6	77,8	117,8
14,920	3,2	742,8	63,1	101,0
14,924	3,1	697,5	56,6	93,2
14,927	3,5	671,1	49,9	85,4
14,931	3,1	670,1	49,3	84,5
14,934	3,3	666,2	47,8	81,9
14,938	3,5	688,1	47,8	81,9
14,941	3,2	681,1	47,6	81,6
14,944	3,2	658,4	46,0	80,6
14,948	3,1	655,5	44,3	78,3
14,951	3,2	678,9	44,1	77,7
14,955	3,0	678,3	44,7	78,2
14,958	2,8	692,2	46,3	80,0
14,962	2,9	9999	46,4	79,8
14,965	2,4	9999	44,2	77,3
14,969	2,4	9999	41,8	74,4
14,972	2,2	9999	38,3	71,0
14,976	2,5	561,6	36,8	68,9
14,979	2,3	594,1	37,6	69,3
14,983	2,1	611,1	38,5	71,2
14,986	2,4	605,1	39,6	71,2
14,990	2,6	644,4	41,4	74,1
14,993	2,1	657,0	42,7	74,5
14,997	2,2	651,4	44,2	76,8
15,000	2,3	657,8	47,6	79,7
15,003	1,9	630,3	48,2	80,7
15,007	2,4	580,5	43,8	74,1
15,010	2,0	553,1	40,1	71,1
15,014	2,3	539,8	38,5	68,8
15,017	1,7	528,7	37,4	67,6
15,021	1,9	518,5	35,6	65,9
15,024	1,6	508,0	33,5	62,5
15,028	1,7	486,7	29,5	57,7
15,031	1,5	474,0	26,7	54,6
15,035	1,3	466,4	24,4	51,8
15,038	1,4	458,0	23,1	50,3
15,042	1,7	458,2	22,9	49,1
15,045	1,7	456,1	21,6	48,5
15,049	1,4	444,6	20,7	48,1
15,052	1,6	444,8	20,8	47,2
15,056	1,4	446,7	20,5	47,4
15,059	1,5	441,8	20,4	46,8
15,063	1,6	430,7	18,6	45,5
15,066	1,2	422,9	16,8	43,5
15,069	1,4	413,1	15,5	41,3
15,073	1,2	418,6	14,4	39,9
15,076	1,6	421,7	14,2	39,4
15,080	1,1	412,7	13,4	38,7
15,083	1,5	393,0	13,0	37,7
15,087	1,2	390,6	11,8	36,8
15,090	1,2	383,4	11,1	34,9
15,094	1,6	368,0	8,8	33,3
15,097	1,5	368,2	7,9	31,9
15,101	1,8	376,4	7,5	31,8
15,104	1,5	379,3	7,7	31,5
15,108	1,6	377,3	7,5	31,6
15,111	1,6	379,1	8,2	32,1
15,115	1,5	380,5	8,1	33,3
15,118	1,1	373,8	8,3	32,9
15,122	1,5	357,4	8,7	34,2
15,125	1,3	356,8	8,4	35,2
15,128	1,3	9999	9,7	35,4
15,132	1,3	9999	9,7	35,6
15,135	1,4	9999	9,8	36,1
15,139	1,4	9999	9,9	36,3
15,142	1,4	354,9	10,8	36,7
15,146	1,3	352,2	11,0	37,1
15,149	1,5	354,7	11,3	37,0
15,153	1,5	359,6	10,4	37,3
15,156	1,5	360,7	11,4	37,6
15,160	1,3	358,6	10,7	37,4
15,163	1,6	364,4	11,7	37,8
15,167	1,4	362,5	11,9	38,4
15,170	1,5	374,2	12,1	39,1
15,174	1,3	390,4	12,9	40,4
15,177	1,5	400,4	13,0	40,9
15,181	1,6	400,8	13,8	40,6
15,184	1,2	392,0	13,1	40,7
15,188	1,7	385,9	12,8	40,1
15,191	1,6	383,8	13,1	39,9
15,194	1,7	375,2	14,3	41,5
15,198	1,4	369,7	14,8	41,9
15,201	1,6	343,7	14,3	42,0
15,205	1,8	329,5	11,7	38,9
15,208	1,8	314,6	9,5	36,3
15,212	1,5	328,2	9,5	36,6
15,215	1,7	320,1	9,9	37,5
15,219	1,5	323,1	11,0	39,3
15,222	1,3	322,3	11,0	39,3
15,226	1,5	330,1	11,5	39,7
15,229	1,5	327,9	12,1	40,7
15,233	1,5	335,2	13,9	42,3
15,236	1,3	325,8	14,0	42,7
15,240	1,4	332,6	14,9	42,9
15,243	1,2	344,9	17,0	46,1
15,247	1,5	344,1	17,6	46,8
15,250	1,6	359,2	19,5	48,3
15,253	1,5	362,7	21,3	50,6
15,257	1,6	364,8	21,1	50,4
15,260	1,7	437,3	51,2	83,7
15,264	1,9	533,8	73,0	108,0
15,267	1,8	549,0	71,6	107,0
15,271	1,9	557,2	72,6	108,3
15,274	1,9	554,3	71,1	107,2
15,278	1,6	587,3	72,5	108,5
15,281	1,7	577,7	73,0	109,1
15,285	1,8	553,1	71,9	107,4
15,288	1,6	563,1	71,1	106,0
15,292	1,7	612,9	80,2	116,2
15,295	2,0	9999	86,5	122,5
15,299	1,9	9999	88,8	125,0
15,302	1,8	9999	90,0	125,8
15,306	2,1	9999	94,6	131,1
15,309	2,1	705,7	100,7	137,7
15,313	2,1	751,6	109,9	148,8
15,316	2,1	760,9	115,7	155,1
15,319	2,0	777,0	117,9	156,8
15,323	2,2	757,0	104,3	141,5
15,326	2,0	704,9	98,3	136,4
15,330	2,2	695,1	78,8	114,9
15,333	1,9	607,6	63,4	99,1
15,337	2,0	662,7	82,2	119,0
15,340	2,4	818,8	119,0	159,5
15,344	2,5	981,8	138,1	180,7
15,347	2,6	874,0	120,0	162,3
15,351	2,2	845,3	113,7	153,3
15,354	2,3	734,8	94,6	131,3
15,358	2,1	631,1	63,8	96,5
15,361	1,8	722,1	51,4	83,1
15,365	1,7	459,4	36,5	66,2
15,368	1,7	453,5	36,1	66,8
15,372	1,7	488,1	36,7	66,8
15,375	2,1	621,1	74,7	110,3
15,378	2,5	817,2	105,8	145,1
15,382	2,5	821,1	105,5	144,6
15,385	2,8	809,2	103,7	143,3
15,389	2,7	805,6	101,7	140,5
15,392	2,7	764,0	99,9	139,3
15,396	2,4	733,8	96,2	134,4
15,399	2,3	717,0	92,9	130,9
15,403	2,4	723,1	92,0	130,2
15,406	2,3	734,4	89,3	128,0
15,410	2,5	723,8	89,8	128,1
15,413	2,2	688,9	80,6	117,3
15,417	2,2	657,0	76,7	113,1
15,420	2,1	606,8	68,9	103,8
15,424	1,9	563,3	53,1	86,7
15,427	1,9	529,3	48,9	83,2
15,431	2,1	536,7	50,5	84,7
15,434	2,2	541,8	54,8	88,6
15,438	2,3	597,3	63,8	99,3
15,441	2,1	608,8	62,8	99,6
15,444	2,4	589,3	63,0	99,7
15,448	2,0	541,4	49,2	84,5
15,451	2,4	521,5	43,4	78,5
15,455	3,9	416,2	22,7	53,0
15,458	5,1	350,8	14,1	41,4
15,462	5,2	9999	11,1	37,6
15,465	4,7	9999	10,3	37,1
15,469	5,0	9999	10,4	37,5
15,472	6,1	9999	10,0	37,8
15,476	7,5	330,3	9,0	36,7
15,479	9,9	324,6	8,4	32,7
15,483	10,8	311,7	6,5	29,5
15,486	9,9	317,8	6,3	26,7
15,490	10,0	307,6	6,2	27,0
15,493	9,3	319,5	6,1	27,5
15,497	10,8	337,3	7,5	30,7
15,500	11,2	309,9	6,5	27,0
15,503	10,4	327,4	6,6	27,0
15,507	9,2	335,9	8,2	33,4
15,510	10,2	327,8	7,6	32,3
15,514	11,0	313,9	7,6	31,3
15,517	10,3	307,2	6,5	29,5
15,521	10,7	312,1	6,8	29,3
15,524	10,2	319,2	7,2	30,1
15,528	10,1	300,2	6,8	29,6
15,531	11,5	318,0	6,4	29,6
15,535	13,4	296,9	6,7	27,7
15,538	13,1	301,0	5,5	27,1
15,542	12,7	315,6	6,5	28,0
15,545	14,4	308,8	6,6	26,4
15,549	14,9	304,9	6,0	26,1
15,552	15,0	309,0	5,8	26,2
15,556	16,4	302,2	5,4	25,5
15,559	16,7	286,9	4,7	21,5
15,563	12,7	345,7	6,1	28,2
15,566	10,2	355,8	7,5	31,8
15,569	11,3	348,6	7,9	33,5
15,573	13,4	315,9	7,2	32,1
15,576	12,9	330,3	6,8	30,8
15,580	12,1	335,1	6,4	31,1
15,583	13,4	334,0	6,9	31,6
15,587	11,5	337,3	6,7	31,1
15,590	11,6	346,1	8,3	34,1
15,594	12,6	339,7	9,1	36,8
15,597	14,8	305,5	7,7	32,1
15,601	12,5	302,0	6,6	31,2
15,604	10,1	366,8	11,5	42,8
15,608	12,1	333,4	9,5	37,6
15,611	11,6	320,5	7,6	35,4
15,615	9,4	343,9	8,3	36,4
15,618	9,3	368,9	10,1	39,1
15,622	12,6	337,5	7,2	33,5
15,625	9,6	342,0	6,4	32,2
15,628	7,3	9999	10,2	40,2
15,632	11,2	9999	8,0	34,0
15,635	11,2	9999	7,0	34,4
15,639	11,2	9999	6,8	34,5
15,642	11,3	275,6	6,6	34,0
15,646	9,5	287,3	6,9	34,7
15,649	7,8	320,5	8,4	40,0
15,653	11,4	316,6	8,8	40,0
15,656	13,2	273,4	9999	9999
15,660	11,7	275,0	9999	9999
15,663	7,4	324,8	9999	9999
15,667	7,6	320,5	9999	9999
15,670	12,1	289,6	9999	9999
15,674	11,7	287,3	9999	9999
15,677	9,2	305,7	9999	9999
15,681	7,1	339,3	7,8	35,2
15,684	9,4	323,6	7,6	36,2
15,688	10,9	287,1	6,3	32,4
15,691	14,6	281,8	5,2	29,6
15,694	12,5	290,8	3,8	28,6
15,698	13,3	286,9	4,2	29,9
15,701	11,8	310,4	5,3	31,7
15,705	14,2	308,2	4,1	30,6
15,708	11,7	340,8	4,4	32,0
15,712	12,3	289,6	3,7	30,7
15,715	12,6	292,8	4,3	30,9
15,719	10,7	321,7	5,0	32,1
15,722	12,1	298,1	4,4	32,2
15,726	10,9	317,0	4,5	33,5
15,729	12,6	291,4	3,9	32,8
15,733	10,0	297,6	4,3	32,7
15,736	6,5	327,9	5,1	38,4
15,740	7,1	358,8	8,9	46,4
15,743	9,8	311,7	6,7	39,8
15,747	13,1	287,1	5,2	33,6
15,750	11,3	301,8	4,3	31,2
15,753	11,9	297,6	5,4	34,0
15,757	11,2	300,2	5,3	34,3
15,760	14,1	300,8	5,5	33,8
15,764	10,7	336,5	4,9	34,2
15,767	10,4	348,8	5,8	36,4
15,771	13,8	313,7	3,9	29,7
15,774	12,5	305,5	4,3	30,3
15,778	9,9	325,4	4,3	32,1
15,781	10,3	321,5	4,9	34,7
15,785	15,2	310,4	4,2	30,1
15,788	16,1	279,1	3,0	24,4
15,792	10,8	322,8	4,4	32,1
15,795	9,1	9999	6,4	36,4
15,799	13,3	9999	6,5	35,7
15,802	13,4	9999	4,7	31,0
15,806	9,0	9999	5,3	32,7
15,809	12,2	324,2	5,6	34,4
15,813	12,2	321,9	5,9	33,1
15,816	12,0	314,3	5,3	33,1
15,819	10,0	326,2	5,6	33,6
15,823	7,7	347,5	6,4	38,8
15,826	11,2	348,8	7,7	39,5
15,830	10,4	327,0	6,5	37,0
15,833	8,9	363,7	6,4	37,0
15,837	8,1	353,3	6,9	37,4
15,840	8,4	354,7	6,1	37,6
15,844	7,2	366,2	6,9	38,3
15,847	6,0	359,0	7,2	39,2
15,851	5,7	369,9	8,0	40,6
15,854	4,2	408,0	8,5	42,0
15,858	3,8	405,1	9,1	43,0
15,861	4,9	389,7	9,0	42,8
15,865	4,2	371,1	7,7	41,1
15,868	3,8	385,2	8,0	41,4
15,872	3,3	397,9	9,0	42,6
15,875	6,5	378,9	8,8	41,3
15,878	7,6	358,4	7,5	38,9
15,882	8,6	346,9	6,5	35,3
15,885	9,1	345,1	6,4	34,8
15,889	9,8	330,7	5,0	33,1
15,892	8,6	359,4	4,2	32,0
15,896	9,6	345,7	4,5	31,8
15,899	8,4	354,3	4,0	31,2
15,903	8,2	364,6	3,9	32,5
15,906	9,6	343,4	2,9	31,1
15,910	10,4	346,9	3,6	30,4
15,913	8,6	354,3	3,4	30,6
15,917	9,0	358,8	2,8	31,3
15,920	11,9	336,5	3,7	29,7
15,924	8,5	362,3	3,2	29,5
15,927	7,8	379,1	2,5	30,3
15,931	8,4	376,0	3,4	31,5
15,934	8,6	366,4	3,9	31,6
15,938	7,1	379,3	3,4	32,3
15,941	6,5	387,1	3,9	33,0
15,944	7,8	379,9	4,4	32,7
15,948	12,2	353,9	3,3	30,2
15,951	14,0	328,9	2,8	26,8
15,955	13,9	322,9	2,4	24,9
15,958	11,8	355,5	2,5	24,5
15,962	12,5	9999	2,8	25,4
15,965	12,2	9999	2,4	24,6
15,969	12,4	9999	2,7	24,6
15,972	14,2	9999	2,6	23,3
15,976	15,6	277,5	2,3	21,8
15,979	14,9	276,9	2,1	20,7
15,983	14,7	285,6	2,0	19,8
15,986	14,8	275,0	2,0	19,4
15,990	16,5	275,4	1,9	19,0
15,993	15,7	266,6	1,9	18,6
15,997	15,6	277,7	2,2	18,0
16,000	14,4	281,8	2,0	18,0
16,003	15,2	284,0	1,9	18,9
16,007	18,1	271,1	1,5	17,7
16,010	17,7	265,5	1,5	16,0
16,014	15,7	269,3	1,9	16,5
16,017	14,6	279,1	1,8	17,6
16,021	16,9	273,4	1,9	17,9
16,024	17,3	265,6	1,8	17,3
16,028	18,7	255,9	1,5	16,1
16,031	17,7	257,4	1,9	15,7
16,035	18,7	252,8	0,9	15,1
16,038	18,2	258,8	1,6	14,7
16,042	18,4	253,1	1,5	14,4
16,045	17,7	258,4	1,9	14,3
16,049	17,7	261,4	1,2	14,4
16,052	17,4	257,1	1,0	14,4
16,056	16,2	256,0	1,1	14,0
16,059	16,9	258,2	1,4	14,9
16,063	17,0	258,4	1,3	14,1
16,066	16,4	261,7	1,3	14,2
16,069	16,1	277,0	1,0	14,1
16,073	14,9	266,2	1,6	14,6
16,076	16,2	270,5	1,3	14,3
16,080	16,2	264,6	1,4	14,3
16,083	15,5	274,6	1,1	14,6
16,087	16,2	266,0	1,7	14,2
16,090	17,4	262,7	1,6	14,0
16,094	18,0	262,9	1,3	14,0
16,097	16,3	262,5	1,3	13,9
16,101	15,9	258,8	1,6	14,4
16,104	16,6	261,9	1,0	14,6
16,108	16,0	261,5	1,1	15,3
16,111	15,6	264,3	1,1	16,1
16,115	16,2	263,3	1,4	15,5
16,118	14,9	267,6	1,0	16,1
16,122	14,6	265,6	1,5	16,8
16,125	14,5	265,4	1,0	18,0
16,128	14,5	9999	1,4	18,1
16,132	15,8	9999	1,4	17,8
16,135	14,9	9999	1,3	17,6
16,139	14,8	9999	1,8	18,2
16,142	15,9	230,9	1,6	18,2
16,146	16,6	233,2	1,8	16,9
16,149	17,0	232,0	2,1	16,0
16,153	17,4	230,3	0,7	15,3
16,156	16,6	234,0	1,5	14,9
16,160	16,0	244,1	0,7	14,9
16,163	15,5	248,6	1,7	15,6
16,167	14,7	245,3	0,6	16,0
16,170	14,7	246,9	1,5	16,1
16,174	14,3	250,0	1,6	16,7
16,177	13,6	258,4	1,4	17,5
16,181	13,7	252,4	1,1	18,0
16,184	13,8	254,1	1,1	17,8
16,188	13,7	258,0	1,5	18,4
16,191	13,8	253,5	1,6	17,5
16,194	14,1	252,0	1,4	17,0
16,198	13,3	255,3	1,4	16,8
16,201	12,6	259,8	1,7	18,0
16,205	12,4	259,4	1,5	18,8
16,208	13,3	254,1	2,1	19,1
16,212	13,2	254,1	2,2	19,3
16,215	12,6	257,8	1,7	19,4
16,219	13,5	258,6	2,6	20,1
16,222	14,1	253,5	2,0	19,5
16,226	14,3	259,8	1,4	18,7
16,229	14,9	262,1	1,9	18,0
16,233	14,3	263,1	2,6	17,4
16,236	13,6	269,1	1,6	17,5
16,240	14,4	269,3	2,0	17,3
16,243	14,4	274,0	1,6	17,3
16,247	13,9	269,3	1,8	17,2
16,250	13,3	273,2	2,4	17,5
16,253	14,1	274,4	1,9	17,4
16,257	14,9	272,2	2,1	17,6
16,260	14,9	275,2	1,9	16,7
16,264	14,5	275,0	1,9	16,5
16,267	15,4	277,1	2,1	17,0
16,271	15,9	271,7	2,2	16,5
16,274	14,9	279,3	2,0	16,0
16,278	15,1	285,9	1,8	17,0
16,281	14,9	283,8	1,5	16,7
16,285	14,2	293,3	2,1	18,5
16,288	15,0	299,6	1,4	18,2
16,292	15,2	290,0	2,7	17,8
16,295	14,4	9999	2,0	17,6
16,299	15,6	9999	1,8	18,0
16,302	14,8	9999	2,0	17,9
16,306	15,8	9999	0,8	17,4
16,309	15,3	245,1	1,8	18,3
16,313	15,2	244,9	1,5	17,9
16,316	14,9	243,0	1,6	18,3
16,319	15,9	243,1	2,0	18,2
16,323	16,2	253,9	1,5	18,7
16,326	15,8	243,0	1,5	18,2
16,330	15,5	244,5	2,3	18,9
16,333	15,6	252,9	2,2	19,0
16,337	16,3	251,2	2,2	18,8
16,340	16,1	254,1	2,3	19,0
16,344	17,3	241,4	2,7	18,6
16,347	16,0	240,8	2,3	17,9
16,351	15,3	261,7	2,4	18,3
16,354	16,1	263,5	2,3	18,5
16,358	14,8	270,5	2,9	18,6
16,361	13,8	285,4	2,7	19,7
16,365	14,4	292,2	2,6	21,0
16,368	14,3	286,9	3,8	21,3
16,372	13,7	294,7	2,5	21,2
16,375	12,8	302,0	3,0	22,4
16,378	12,2	307,4	3,5	23,7
16,382	11,9	304,7	4,0	24,1
16,385	11,6	310,4	4,7	24,7
16,389	10,5	330,5	5,5	26,6
16,392	10,4	338,1	6,3	28,3
16,396	10,1	343,7	6,2	29,1
16,399	10,0	343,2	6,7	30,2
16,403	10,6	330,3	7,1	30,0
16,406	9,6	417,6	6,5	30,2
16,410	9,6	342,8	6,4	29,9
16,413	9,4	341,4	6,2	30,5
16,417	9,3	352,7	6,5	30,7
16,420	9,6	353,9	6,4	30,8
16,424	9,5	354,5	6,3	30,4
16,427	11,1	338,7	5,4	29,5
16,431	9,8	346,7	5,6	28,6
16,434	9,7	353,4	5,6	29,0
16,438	8,6	376,7	6,6	30,3
16,441	8,8	368,9	6,8	31,0
16,444	8,6	371,9	6,4	31,8
16,448	8,2	377,5	7,5	31,7
16,451	9,8	367,8	7,6	32,1
16,455	10,3	353,3	7,4	30,8
16,458	9,0	362,5	6,7	30,7
16,462	9,8	9999	7,4	30,9
16,465	9,9	9999	7,2	30,5
16,469	9,7	9999	6,8	31,1
16,472	9,1	9999	7,8	31,0
16,476	8,7	345,7	7,0	31,1
16,479	8,5	353,9	8,0	31,9
16,483	8,8	357,2	7,4	32,6
16,486	8,4	357,2	7,4	32,6
16,490	8,0	378,7	8,1	32,8
16,493	8,1	381,1	8,5	33,4
16,497	7,3	406,4	9,9	35,9
16,500	6,8	421,9	11,0	37,9
16,503	6,8	428,5	13,2	40,7
16,507	7,3	407,8	12,8	40,5
16,510	7,6	399,2	11,5	39,7
16,514	8,0	385,2	11,1	38,0
16,517	7,1	395,3	9,8	36,1
16,521	7,2	403,3	9,1	36,8
16,524	8,2	391,0	8,8	36,0
16,528	8,7	378,7	8,7	34,4
16,531	9,1	379,5	7,7	33,8
16,535	8,9	385,8	7,7	32,9
16,538	8,9	378,9	7,5	31,4
16,542	9,1	400,2	7,7	33,3
16,545	9,7	389,3	8,1	32,1
16,549	8,7	392,2	8,1	33,3
16,552	8,9	403,9	8,4	34,0
16,556	10,4	381,8	7,7	33,0
16,559	9,5	396,7	7,0	32,2
16,563	10,2	384,2	7,3	33,0
16,566	10,2	383,8	7,7	32,1
16,569	10,9	374,4	7,0	31,4
16,573	11,3	369,3	7,0	30,7
16,576	10,5	374,6	6,8	30,4
16,580	10,9	376,6	6,1	30,2
16,583	10,9	378,1	6,2	29,8
16,587	12,4	370,9	6,6	29,9
